,NAME,Population,stateNo,countyNo,County,Year
95,"Amador County, California",38327.0,06,005,Amador,2010
96,"Butte County, California",218635.0,06,007,Butte,2010
97,"Calaveras County, California",45994.0,06,009,Calaveras,2010
98,"Colusa County, California",21165.0,06,011,Colusa,2010
99,"Contra Costa County, California",1024809.0,06,013,Contra Costa,2010
100,"Del Norte County, California",28471.0,06,015,Del Norte,2010
101,"El Dorado County, California",179053.0,06,017,El Dorado,2010
102,"Fresno County, California",908830.0,06,019,Fresno,2010
103,"Glenn County, California",27935.0,06,021,Glenn,2010
104,"Humboldt County, California",133058.0,06,023,Humboldt,2010
105,"Imperial County, California",168052.0,06,025,Imperial,2010
106,"Inyo County, California",18434.0,06,027,Inyo,2010
107,"Kern County, California",815693.0,06,029,Kern,2010
108,"Kings County, California",151122.0,06,031,Kings,2010
109,"Lake County, California",64371.0,06,033,Lake,2010
110,"Lassen County, California",35081.0,06,035,Lassen,2010
111,"Los Angeles County, California",9758256.0,06,037,Los Angeles,2010
112,"Madera County, California",147738.0,06,039,Madera,2010
113,"Marin County, California",248601.0,06,041,Marin,2010
114,"Mariposa County, California",18290.0,06,043,Mariposa,2010
115,"Mendocino County, California",87487.0,06,045,Mendocino,2010
116,"Alameda County, California",1494876.0,06,001,Alameda,2011
117,"Alpine County, California",1167.0,06,003,Alpine,2011
118,"Amador County, California",38244.0,06,005,Amador,2011
119,"Butte County, California",219309.0,06,007,Butte,2011
120,"Calaveras County, California",45794.0,06,009,Calaveras,2011
121,"Colusa County, California",21297.0,06,011,Colusa,2011
122,"Contra Costa County, California",1037817.0,06,013,Contra Costa,2011
123,"Del Norte County, California",28561.0,06,015,Del Norte,2011
124,"El Dorado County, California",179878.0,06,017,El Dorado,2011
125,"Fresno County, California",920623.0,06,019,Fresno,2011
126,"Glenn County, California",28027.0,06,021,Glenn,2011
127,"Humboldt County, California",133585.0,06,023,Humboldt,2011
128,"Imperial County, California",171343.0,06,025,Imperial,2011
129,"Inyo County, California",18457.0,06,027,Inyo,2011
130,"Kern County, California",829254.0,06,029,Kern,2011
131,"Kings County, California",152335.0,06,031,Kings,2011
132,"Lake County, California",64392.0,06,033,Lake,2011
133,"Lassen County, California",35001.0,06,035,Lassen,2011
134,"Los Angeles County, California",9787747.0,06,037,Los Angeles,2011
135,"Madera County, California",149611.0,06,039,Madera,2011
136,"Marin County, California",250666.0,06,041,Marin,2011
137,"Mariposa County, California",18290.0,06,043,Mariposa,2011
138,"Mendocino County, California",87525.0,06,045,Mendocino,2011
139,"Merced County, California",253606.0,06,047,Merced,2011
140,"Modoc County, California",9587.0,06,049,Modoc,2011
141,"Mono County, California",14016.0,06,051,Mono,2011
142,"Monterey County, California",411385.0,06,053,Monterey,2011
143,"Napa County, California",135377.0,06,055,Napa,2011
144,"Nevada County, California",98392.0,06,057,Nevada,2011
145,"Orange County, California",2989948.0,06,059,Orange,2011
146,"Placer County, California",343554.0,06,061,Placer,2011
147,"Plumas County, California",20192.0,06,063,Plumas,2011
148,"Riverside County, California",2154844.0,06,065,Riverside,2011
149,"Sacramento County, California",1408480.0,06,067,Sacramento,2011
150,"San Benito County, California",54873.0,06,069,San Benito,2011
