,NAME,Population,stateNo,countyNo,County,Year
478,"San Benito County, California",58671.0,06,069,San Benito,2017
479,"Alameda County, California",1629615.0,06,001,Alameda,2017
480,"Sacramento County, California",1495400.0,06,067,Sacramento,2017
481,"El Dorado County, California",185015.0,06,017,El Dorado,2017
482,"Napa County, California",141005.0,06,055,Napa,2017
483,"San Diego County, California",3283665.0,06,073,San Diego,2017
484,"Monterey County, California",433168.0,06,053,Monterey,2017
485,"San Francisco County, California",864263.0,06,075,San Francisco,2017
486,"Sierra County, California",2885.0,06,091,Sierra,2017
487,"Tulare County, California",458809.0,06,107,Tulare,2017
488,"Yolo County, California",212605.0,06,113,Yolo,2017
489,"Humboldt County, California",135490.0,06,023,Humboldt,2017
490,"Nevada County, California",98838.0,06,057,Nevada,2017
491,"Alpine County, California",1203.0,06,003,Alpine,2017
492,"Madera County, California",154440.0,06,039,Madera,2017
493,"Mendocino County, California",87497.0,06,045,Mendocino,2017
494,"Santa Cruz County, California",273263.0,06,087,Santa Cruz,2017
495,"Trinity County, California",13037.0,06,105,Trinity,2017
496,"Los Angeles County, California",10105722.0,06,037,Los Angeles,2017
497,"Riverside County, California",2355002.0,06,065,Riverside,2017
498,"San Bernardino County, California",2121220.0,06,071,San Bernardino,2017
499,"Santa Clara County, California",1911226.0,06,085,Santa Clara,2017
500,"Marin County, California",260814.0,06,041,Marin,2017
501,"Placer County, California",374985.0,06,061,Placer,2017
502,"Siskiyou County, California",43530.0,06,093,Siskiyou,2017
503,"Shasta County, California",178919.0,06,089,Shasta,2017
504,"Solano County, California",434981.0,06,095,Solano,2017
505,"Del Norte County, California",27442.0,06,015,Del Norte,2017
506,"Colusa County, California",21479.0,06,011,Colusa,2017
507,"Glenn County, California",27935.0,06,021,Glenn,2017
508,"Butte County, California",225207.0,06,007,Butte,2017
509,"Kings County, California",150183.0,06,031,Kings,2017
510,"Plumas County, California",18724.0,06,063,Plumas,2017
511,"San Luis Obispo County, California",280119.0,06,079,San Luis Obispo,2017
512,"Fresno County, California",971616.0,06,019,Fresno,2017
513,"Kern County, California",878744.0,06,029,Kern,2017
514,"Orange County, California",3155816.0,06,059,Orange,2017
515,"Ventura County, California",847834.0,06,111,Ventura,2017
516,"Calaveras County, California",45057.0,06,009,Calaveras,2017
517,"Sutter County, California",95583.0,06,101,Sutter,2017
518,"San Mateo County, California",763450.0,06,081,San Mateo,2017
519,"Tuolumne County, California",53899.0,06,109,Tuolumne,2017
520,"San Joaquin County, California",724153.0,06,077,San Joaquin,2017
521,"Amador County, California",37306.0,06,005,Amador,2017
522,"Lake County, California",64148.0,06,033,Lake,2018
523,"Mariposa County, California",17540.0,06,043,Mariposa,2018
524,"Yuba County, California",75493.0,06,115,Yuba,2018
525,"Contra Costa County, California",1133247.0,06,013,Contra Costa,2018
526,"Lassen County, California",31185.0,06,035,Lassen,2018
527,"Santa Barbara County, California",443738.0,06,083,Santa Barbara,2018
528,"Sonoma County, California",501317.0,06,097,Sonoma,2018
529,"Imperial County, California",180216.0,06,025,Imperial,2018
530,"Mono County, California",14174.0,06,051,Mono,2018
531,"Alameda County, California",1643700.0,06,001,Alameda,2018
532,"Sacramento County, California",1510023.0,06,067,Sacramento,2018
533,"Napa County, California",140530.0,06,055,Napa,2018
534,"Monterey County, California",433212.0,06,053,Monterey,2018
535,"Sierra County, California",2930.0,06,091,Sierra,2018
536,"San Diego County, California",3302833.0,06,073,San Diego,2018
537,"Yolo County, California",214977.0,06,113,Yolo,2018
538,"Humboldt County, California",135768.0,06,023,Humboldt,2018
539,"Alpine County, California",1146.0,06,003,Alpine,2018
540,"Mendocino County, California",87422.0,06,045,Mendocino,2018
541,"Santa Cruz County, California",273765.0,06,087,Santa Cruz,2018
542,"Los Angeles County, California",10098052.0,06,037,Los Angeles,2018
543,"Riverside County, California",2383286.0,06,065,Riverside,2018
544,"Santa Clara County, California",1922200.0,06,085,Santa Clara,2018
545,"Marin County, California",260295.0,06,041,Marin,2018
546,"Siskiyou County, California",43540.0,06,093,Siskiyou,2018
547,"Shasta County, California",179085.0,06,089,Shasta,2018
548,"Del Norte County, California",27424.0,06,015,Del Norte,2018
549,"San Luis Obispo County, California",281455.0,06,079,San Luis Obispo,2018
550,"Glenn County, California",27897.0,06,021,Glenn,2018
551,"Butte County, California",227075.0,06,007,Butte,2018
552,"Plumas County, California",18699.0,06,063,Plumas,2018
553,"Kern County, California",883053.0,06,029,Kern,2018
554,"Orange County, California",3164182.0,06,059,Orange,2018
555,"Calaveras County, California",45235.0,06,009,Calaveras,2018
556,"Sutter County, California",95872.0,06,101,Sutter,2018
557,"San Mateo County, California",765935.0,06,081,San Mateo,2018
558,"Tuolumne County, California",53932.0,06,109,Tuolumne,2018
559,"San Joaquin County, California",732212.0,06,077,San Joaquin,2018
560,"Amador County, California",37829.0,06,005,Amador,2018
561,"Merced County, California",269075.0,06,047,Merced,2018
562,"Modoc County, California",8938.0,06,049,Modoc,2018
563,"Inyo County, California",18085.0,06,027,Inyo,2018
564,"Stanislaus County, California",539301.0,06,099,Stanislaus,2018
565,"Tehama County, California",63373.0,06,103,Tehama,2018
566,"San Benito County, California",59416.0,06,069,San Benito,2018
567,"El Dorado County, California",186661.0,06,017,El Dorado,2018
568,"San Francisco County, California",870044.0,06,075,San Francisco,2018
569,"Tulare County, California",460477.0,06,107,Tulare,2018
570,"Nevada County, California",99092.0,06,057,Nevada,2018
571,"Madera County, California",155013.0,06,039,Madera,2018
572,"Trinity County, California",12862.0,06,105,Trinity,2018
573,"San Bernardino County, California",2135413.0,06,071,San Bernardino,2018
574,"Placer County, California",380077.0,06,061,Placer,2018
575,"Solano County, California",438530.0,06,095,Solano,2018
576,"Colusa County, California",21464.0,06,011,Colusa,2018
577,"Kings County, California",150075.0,06,031,Kings,2018
578,"Fresno County, California",978130.0,06,019,Fresno,2018
579,"Ventura County, California",848112.0,06,111,Ventura,2018
580,"Merced County, California",271382.0,06,047,Merced,2019
581,"Mariposa County, California",17420.0,06,043,Mariposa,2019
582,"Modoc County, California",8907.0,06,049,Modoc,2019
583,"Contra Costa County, California",1142251.0,06,013,Contra Costa,2019
584,"Inyo County, California",17977.0,06,027,Inyo,2019
585,"Stanislaus County, California",543194.0,06,099,Stanislaus,2019
586,"Santa Barbara County, California",444829.0,06,083,Santa Barbara,2019
587,"Tehama County, California",63912.0,06,103,Tehama,2019
588,"Mono County, California",14310.0,06,051,Mono,2019
589,"San Benito County, California",60376.0,06,069,San Benito,2019
590,"Sacramento County, California",1524553.0,06,067,Sacramento,2019
591,"El Dorado County, California",188563.0,06,017,El Dorado,2019
592,"Monterey County, California",433410.0,06,053,Monterey,2019
593,"San Francisco County, California",874961.0,06,075,San Francisco,2019
594,"San Diego County, California",3316073.0,06,073,San Diego,2019
595,"Tulare County, California",461898.0,06,107,Tulare,2019
596,"Humboldt County, California",135940.0,06,023,Humboldt,2019
597,"Alpine County, California",1039.0,06,003,Alpine,2019
598,"Madera County, California",155433.0,06,039,Madera,2019
599,"Santa Cruz County, California",273962.0,06,087,Santa Cruz,2019
600,"Trinity County, California",12700.0,06,105,Trinity,2019
601,"Riverside County, California",2411439.0,06,065,Riverside,2019
602,"San Bernardino County, California",2149031.0,06,071,San Bernardino,2019
603,"Marin County, California",259943.0,06,041,Marin,2019
604,"Placer County, California",385512.0,06,061,Placer,2019
605,"Shasta County, California",179212.0,06,089,Shasta,2019
606,"Solano County, California",441829.0,06,095,Solano,2019
607,"Colusa County, California",21454.0,06,011,Colusa,2019
608,"Glenn County, California",27976.0,06,021,Glenn,2019
609,"Butte County, California",225817.0,06,007,Butte,2019
610,"Kings County, California",150691.0,06,031,Kings,2019
611,"Plumas County, California",18660.0,06,063,Plumas,2019
612,"San Luis Obispo County, California",282165.0,06,079,San Luis Obispo,2019
613,"Fresno County, California",984521.0,06,019,Fresno,2019
614,"Kern County, California",887641.0,06,029,Kern,2019
615,"Orange County, California",3168044.0,06,059,Orange,2019
616,"Ventura County, California",847263.0,06,111,Ventura,2019
617,"Calaveras County, California",45514.0,06,009,Calaveras,2019
618,"Sutter County, California",96109.0,06,101,Sutter,2019
619,"San Mateo County, California",767423.0,06,081,San Mateo,2019
620,"Tuolumne County, California",54045.0,06,109,Tuolumne,2019
621,"San Joaquin County, California",742603.0,06,077,San Joaquin,2019
622,"Amador County, California",38429.0,06,005,Amador,2019
623,"Lake County, California",64195.0,06,033,Lake,2019
624,"Yuba County, California",76360.0,06,115,Yuba,2019
625,"Lassen County, California",30818.0,06,035,Lassen,2019
626,"Sonoma County, California",499772.0,06,097,Sonoma,2019
627,"Imperial County, California",180701.0,06,025,Imperial,2019
628,"Alameda County, California",1656754.0,06,001,Alameda,2019
629,"Napa County, California",139623.0,06,055,Napa,2019
630,"Sierra County, California",3040.0,06,091,Sierra,2019
631,"Yolo County, California",217352.0,06,113,Yolo,2019
632,"Nevada County, California",99244.0,06,057,Nevada,2019
633,"Mendocino County, California",87224.0,06,045,Mendocino,2019
634,"Los Angeles County, California",10081570.0,06,037,Los Angeles,2019
635,"Santa Clara County, California",1927470.0,06,085,Santa Clara,2019
636,"Siskiyou County, California",43468.0,06,093,Siskiyou,2019
637,"Del Norte County, California",27495.0,06,015,Del Norte,2019
